iter	Logloss
0	0.6845175958
1	0.6753775604
2	0.6674242736
3	0.6592488372
4	0.650711954
5	0.6436627256
6	0.6374823857
7	0.63147898
8	0.6257643728
9	0.620533679
10	0.614780599
11	0.6098765966
12	0.6033852263
13	0.5988806787
14	0.593427676
15	0.5898696935
16	0.5859435353
17	0.582616104
18	0.5793985648
19	0.575398338
20	0.5722215962
21	0.5697080366
22	0.5666333446
23	0.5628802742
24	0.5599043667
25	0.5568768283
26	0.5543820015
27	0.5516381182
28	0.5492731883
29	0.5475981021
30	0.545779186
31	0.5426082563
32	0.5401804976
33	0.5382526084
34	0.5366516128
35	0.5344619298
36	0.5329740624
37	0.5305585761
38	0.5290194064
39	0.5272319389
40	0.5258173288
41	0.5246077375
42	0.5233320076
43	0.5222898087
44	0.5211837839
45	0.5203076852
46	0.5187198353
47	0.5170370353
48	0.5163220973
49	0.5150534229
50	0.5143797374
51	0.5126970985
52	0.5116055544
53	0.509538843
54	0.508777689
55	0.5078820177
56	0.5069506256
57	0.5061980807
58	0.5052344793
59	0.5046469801
60	0.5032814633
61	0.501425748
62	0.5008326106
63	0.4995623215
64	0.4989419066
65	0.4983677316
66	0.497839034
67	0.4970970007
68	0.49633015
69	0.4959233644
70	0.4951109144
71	0.4941164776
72	0.4936467076
73	0.4929939965
74	0.4914274721
75	0.4909099444
76	0.4902809148
77	0.4891697673
78	0.4884465686
79	0.4880991036
80	0.4866357073
81	0.4860423484
82	0.4856960286
83	0.4849908139
84	0.4845922755
85	0.4838533808
86	0.4833120696
87	0.4826752067
88	0.4821850501
89	0.4816482714
90	0.4813033244
91	0.4805893744
92	0.4801917616
93	0.4799787588
94	0.4797004865
95	0.4791791928
96	0.4788550342
97	0.4784106779
98	0.4778334814
99	0.4773599159
100	0.4770833707
101	0.4767841356
102	0.476378308
103	0.4757951053
104	0.4754645123
105	0.4750110879
106	0.4747716744
107	0.4743584819
108	0.4731924956
109	0.4729252383
110	0.4723615417
111	0.4720485026
112	0.471772045
113	0.4714878945
114	0.4711996723
115	0.4702328127
116	0.469222864
117	0.4688898259
118	0.4686106544
119	0.4681840286
120	0.4678133967
121	0.4675350101
122	0.4673030248
123	0.4670144639
124	0.4662286791
125	0.4657701449
126	0.4653596699
127	0.4649283403
128	0.4645953166
129	0.4642591969
130	0.464107607
131	0.4637025698
132	0.4634723741
133	0.4630923679
134	0.4628431939
135	0.4626454097
136	0.4624579395
137	0.4622292567
138	0.462016956
139	0.4618520859
140	0.4615997109
141	0.4609150707
142	0.4605877237
143	0.4603924324
144	0.4602421798
145	0.4601244323
146	0.459986993
147	0.4595558689
148	0.4593849976
149	0.4590185455
150	0.458706907
151	0.4584086994
152	0.4580634246
153	0.4578185605
154	0.4572331498
155	0.4568644291
156	0.456622019
157	0.4564635426
158	0.4562487049
159	0.4559390144
160	0.4557868079
161	0.4555915074
162	0.4553814013
163	0.4552360418
164	0.4550102143
165	0.4548531105
166	0.4545325809
167	0.4543460424
168	0.4537204392
169	0.4535483732
170	0.4529539149
171	0.4528276729
172	0.4524567675
173	0.4522915698
174	0.4519464636
175	0.4517269705
176	0.4515024105
177	0.451231515
178	0.4510866123
179	0.45074227
180	0.4505464888
181	0.4503476013
182	0.4501878122
183	0.4500139071
184	0.4497766866
185	0.4494688557
186	0.449338226
187	0.449183834
188	0.44893029
189	0.4487538526
190	0.4486128887
191	0.4484297428
192	0.448269119
193	0.4481065738
194	0.4479365872
195	0.447789314
196	0.4472932286
197	0.447136063
198	0.4468613674
199	0.4466914999
200	0.4464980652
201	0.4462677796
202	0.4460799132
203	0.4459609878
204	0.4458837144
205	0.4456944481
206	0.4455628522
207	0.4451600829
208	0.444846681
209	0.4446594974
210	0.4442749531
211	0.4441332545
212	0.4440135948
213	0.4437008002
214	0.443521806
215	0.4431316678
216	0.4428762943
217	0.4426464279
218	0.4423486376
219	0.4421668528
220	0.4419830875
221	0.4418060103
222	0.4416953587
223	0.4414592071
224	0.4413110085
225	0.4411026578
226	0.4409726331
227	0.4408116959
228	0.4406638575
229	0.4405388922
230	0.4403921132
231	0.4402550539
232	0.4401262035
233	0.4399919171
234	0.4398350708
235	0.4396419622
236	0.4395253835
237	0.4393526198
238	0.4392356759
239	0.4390897333
240	0.4389895217
241	0.4388485814
242	0.4386863782
243	0.4385451466
244	0.4383824219
245	0.4382278176
246	0.4380981853
247	0.4380091389
248	0.4378620261
249	0.4377734624
250	0.4376819407
251	0.4376136218
252	0.437472729
253	0.437385745
254	0.4372095699
255	0.437015106
256	0.4368335749
257	0.4366419598
258	0.4364144068
259	0.4362431639
260	0.4360698452
261	0.4358630234
262	0.4356438803
263	0.435452033
264	0.4352728651
265	0.435100949
266	0.4349746823
267	0.4348729125
268	0.4346741027
269	0.4345305474
270	0.4342096624
271	0.4341351876
272	0.4339863185
273	0.4338530941
274	0.4336580623
275	0.4334513388
276	0.4333266059
277	0.4331089298
278	0.43291681
279	0.4328093729
280	0.4327090466
281	0.4325046011
282	0.4322606154
283	0.4321125593
284	0.4318341396
285	0.4316191552
286	0.4315199213
287	0.431351854
288	0.4312243129
289	0.431021694
290	0.4308629851
291	0.4307394323
292	0.4304717798
293	0.4302965709
294	0.4300970415
295	0.4299311977
296	0.4297826097
297	0.4295632021
298	0.4294047387
299	0.429267069
300	0.429133101
301	0.4289635958
302	0.4287567545
303	0.4285983433
304	0.4284579024
305	0.4282583997
306	0.4280841955
307	0.4279955583
308	0.4277874274
309	0.4276237755
310	0.427483272
311	0.4273031812
312	0.4271471814
313	0.4268149053
314	0.4266707171
315	0.4264857901
316	0.4262859273
317	0.4261769335
318	0.4260593697
319	0.425860927
320	0.4256116182
321	0.4255147789
322	0.4252513247
323	0.4251036146
324	0.4248078117
325	0.4246356817
326	0.4244728056
327	0.4243335369
328	0.4241509787
329	0.423933275
330	0.4236064377
331	0.4234910731
332	0.4232775358
333	0.4231476211
